cal BP,Posterior probability
-1460,1.5802032141333376E-5
-1450,7.901016070666688E-6
-1440,2.3703048212000063E-5
-1430,7.901016070666688E-6
-1420,7.901016070666688E-6
-1410,0.0
-1400,7.901016070666688E-6
-1390,2.3703048212000063E-5
-1380,0.0
-1370,3.950508035333344E-5
-1360,7.110914463600018E-5
-1350,3.950508035333344E-5
-1340,2.3703048212000063E-5
-1330,1.5802032141333376E-5
-1320,3.160406428266675E-5
-1310,7.901016070666688E-5
-1300,1.5011930534266708E-4
-1290,2.054264178373339E-4
-1280,2.2912946604933395E-4
-1270,4.8196198031066797E-4
-1260,6.32081285653335E-4
-1250,0.0012009544427413366
-1240,0.0013826778123666704
-1230,0.0019831550337373388
-1220,0.0028285637532986744
-1210,0.003342129797892009
-1200,0.004053221244252011
-1190,0.004069023276393345
-1180,0.004116429372817344
-1170,0.00622600066368535
-1160,0.009101970513408024
-1150,0.011132531643569364
-1140,0.013107785661236035
-1130,0.016876570326944045
-1120,0.01927847921242672
-1110,0.021862111467534726
-1100,0.0245010508351374
-1090,0.02600224388856407
-1080,0.027487634909849408
-1070,0.030900873852377414
-1060,0.03497779814484143
-1050,0.03919694072657744
-1040,0.042807705070872115
-1030,0.04530442614920279
-1020,0.04829891123998546
-1010,0.049634182955928134
-1000,0.050827236382598805
-990,0.05115117804149614
-980,0.05138030750754547
-970,0.04825940615963213
-960,0.045446644438474786
-950,0.03880979093911477
-940,0.03389535894316009
-930,0.02789058672945341
-920,0.02266011409067206
-910,0.020882385474772055
-900,0.016758055085884044
-890,0.01663163882875338
-880,0.01509884171104404
-870,0.014055907589716038
-860,0.012388793198805367
-850,0.01095080827394403
-840,0.00877802885451069
-830,0.006423526065452017
-820,0.004977640124520013
-810,0.003847794826414677
-800,0.0022201855158573394
-790,0.0013273706998720035
-780,0.001011330057045336
-770,6.636853499360017E-4
-760,5.846751892293349E-4
-750,4.6615994816933456E-4
-740,2.6073353033200067E-4
-730,1.4221828927200037E-4
-720,1.7382235355466714E-4
-710,8.691117677733357E-5
-700,7.901016070666688E-5
-690,2.3703048212000063E-5
-680,3.950508035333344E-5
-670,1.5802032141333376E-5
-660,7.901016070666688E-6
-650,7.901016070666688E-6
-640,0.0
-630,0.0
-620,7.901016070666688E-6
